GTCBSA,HEHOUSUT,HETENURE,HEFAMINC,PEEDUCA,PEMLR,PESEX,PEMARITL,PWCMPWGT,HRNUMHOU,PWFMWGT,PWLGWGT,PWORWGT,PWSSWGT,Year,Month
32580,6,1,8,38,4,2,6,3500.7090,3,3640.0131,5252.9611,0.0000,3640.0131,2020,jan
38300,1,1,13,36,7,1,6,3088.9753,3,3129.3814,4401.0274,11745.0501,3129.3814,2011,jan
35620,1,2,14,34,5,2,1,3172.7761,3,3246.4801,4661.1826,0.0000,3246.4801,2016,jan
31080,1,1,16,37,5,2,3,3472.7324,6,3351.9674,5017.4427,0.0000,3351.9674,2022,jan
0,1,2,11,-1,-1,2,-1,0.0000,2,1358.9879,0.0000,0.0000,1358.9879,2022,jan
19820,1,1,12,39,1,2,6,2794.9585,2,2757.7352,0.0000,0.0000,2757.7352,2016,jan
29820,1,2,11,42,-1,1,1,0.0000,2,1214.6387,0.0000,0.0000,0.0000,2013,jan
16980,1,1,14,39,1,1,6,4834.5861,6,4652.1512,0.0000,0.0000,4652.1512,2019,jan
0,1,1,7,40,5,1,5,1066.1954,1,1077.2340,1533.1980,0.0000,1077.2340,2018,jan
77200,1,1,15,-1,-1,1,-1,0.0000,5,486.1352,0.0000,0.0000,486.1352,2012,jan
0,1,1,13,44,1,1,1,282.8124,4,300.0525,0.0000,0.0000,278.6001,2010,jan
35620,1,2,8,33,7,2,1,3212.6924,6,3300.7222,0.0000,0.0000,3300.7222,2013,jan
12020,1,2,13,39,1,1,6,4974.0739,3,5037.1690,7537.6701,0.0000,5037.1690,2022,jan
79600,1,2,11,39,1,1,6,3688.2233,3,3766.9069,5297.6159,0.0000,3766.9069,2011,jan
33100,1,2,13,43,1,2,6,3871.5220,4,3909.3799,5664.8557,0.0000,3909.3799,2019,jan
0,1,1,15,-1,-1,2,-1,0.0000,5,524.6955,0.0000,0.0000,524.6955,2022,jan
0,1,2,7,37,1,1,6,1091.5406,2,1038.8808,0.0000,0.0000,1038.8808,2018,jan
26420,1,1,15,43,1,2,1,4780.9668,2,4815.1888,0.0000,0.0000,4815.1888,2020,jan
18140,1,1,8,39,5,2,1,3155.9196,2,3195.9879,4577.2268,0.0000,3195.9879,2015,jan
47900,1,2,15,43,1,1,6,339.4551,3,341.7250,489.9811,0.0000,341.7250,2016,jan
40900,1,1,15,44,1,1,6,4309.4795,5,4338.8610,6290.8929,16950.6439,4338.8610,2019,jan
19740,1,1,10,44,1,2,1,4058.7676,2,4181.9626,6038.7456,16430.8006,4181.9626,2017,jan
35380,1,1,15,44,1,2,1,2105.8218,2,2134.7723,3080.7241,0.0000,2134.7723,2020,jan
47260,1,1,12,44,5,2,3,2676.9780,1,2752.9172,3892.7378,0.0000,2752.9172,2010,jan
12060,1,1,14,39,5,1,1,3013.7330,3,3221.8317,4399.9080,0.0000,3034.6391,2019,jan
0,1,1,5,39,5,2,3,556.0869,1,553.7991,802.4782,2232.8007,553.7991,2019,jan
40140,5,2,9,-1,-1,1,-1,0.0000,5,2461.3856,0.0000,0.0000,2461.3856,2012,jan
0,1,2,5,38,6,2,1,3589.5322,4,3531.1823,4980.6796,14117.7377,3531.1823,2012,jan
12580,1,1,16,43,1,1,1,1803.3004,6,1660.8688,2538.5495,0.0000,1795.0021,2010,jan
31080,1,1,13,43,2,1,4,3219.4558,3,3251.9052,4662.7313,12869.9389,3251.9052,2016,jan
35620,1,2,11,43,1,2,1,4143.8038,2,4247.5368,5997.1141,0.0000,4247.5368,2013,jan
16980,1,1,16,39,7,2,1,3242.7750,5,3214.7952,4534.4204,0.0000,3214.7952,2012,jan
19380,1,1,10,39,1,1,6,4380.5359,2,4433.9167,0.0000,0.0000,4433.9167,2017,jan
0,1,2,1,-1,-1,2,-1,0.0000,4,2346.8328,0.0000,0.0000,2346.8328,2010,jan
18140,1,1,12,43,5,1,1,3056.4823,2,3458.9479,4286.8846,12160.1168,3037.3881,2014,jan
49180,1,1,10,41,5,1,1,3934.9593,2,3677.6037,5882.3187,15682.3632,3930.9539,2022,jan
26820,1,1,13,41,1,1,6,1004.8990,4,988.5989,0.0000,0.0000,988.5989,2022,jan
48140,1,1,9,-1,-1,1,-1,0.0000,5,1724.6645,0.0000,0.0000,1724.6645,2015,jan
31700,1,1,15,39,1,1,6,925.4451,4,922.4647,0.0000,0.0000,922.4647,2020,jan
46520,1,1,14,43,1,1,1,716.0138,3,672.9267,0.0000,0.0000,722.4048,2019,jan
27140,1,2,1,39,1,1,1,2580.3591,2,2586.8257,3510.8892,0.0000,2481.7533,2013,jan
35620,1,1,16,44,1,1,1,4622.0037,2,4345.6639,0.0000,0.0000,4653.0001,2015,jan
