Metropolitan Core Based Statistical Area FIPS Code,Household-type of living quarters,Household-own/rent living quarters,Household-total family income in past 12 months,Demographics-highest level of school completed,Labor Force-employment status,Demographics-sex,Demographics-marital status,Weight-composited final weight,Household-total # of members,Weight-family,Weight-longitudinal weight,Weight-outgoing rotation weight,Weight-second stage weight (rake 6 final step weight),Year,Month
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"25,000 To 29,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,4525.7427,0.0000,0.0000,4525.7427,2023,jan
0,"House, Apartment, Flat",Not in Universe,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Divorced,3394.5451,1,3509.3013,5201.2899,0.0000,3509.3013,2024,jan
"Knoxville, TN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,2554.3380,4,2557.9558,3828.9145,0.0000,2557.9558,2022,jan
"Little Rock-North Little Rock-Conway, AR","House, Apartment, Flat",Not in Universe,"150,000 or More",Associate Degree-Occupational/Vocationl,Retired-Not In Labor Force,Male,Married - Spouse Present,1237.8599,2,1318.0076,1887.4552,0.0000,1273.4628,2024,jan
0,Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"40,000 To 49,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Divorced,373.7422,1,360.6372,0.0000,0.0000,360.6372,2024,jan
"Urban Honolulu, HI","House, Apartment, Flat",Not in Universe,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,747.2582,3,787.0985,1168.7791,0.0000,787.0985,2024,jan
"Tallahassee, FL","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Employed-Absent,Male,Widowed,4877.3154,4,4980.7679,7453.2709,0.0000,4980.7679,2022,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Married - Spouse Present,9601.8791,5,6135.2391,14610.8156,0.0000,9857.9120,2023,jan
"Orlando-Kissimmee-Sanford, FL","House, Apartment, Flat",Rented for cash,"60,000 To 74,999",Associate Deg.-Academic Program,Employed-At Work,Male,Married - Spouse Present,4820.2747,2,4763.1895,0.0000,0.0000,4871.2680,2022,jan
"San Diego-Carlsbad, CA","House, Apartment, Flat",Rented for cash,"35,000 To 39,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,4066.7506,0.0000,0.0000,4066.7506,2022,jan
